INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?1', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들2', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?3', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들4', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?5', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들6', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?7', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들8', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?9', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들10', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?11', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들12', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?13', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들14', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?15', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들16', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?17', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들18', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?19', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들20', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?21', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들22', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?23', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들24', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?25', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들26', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?27', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들28', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?29', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들30', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?31', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들32', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?33', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들34', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?35', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들36', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?37', '티켓 어디서 파나요??', 'dldldl', 'qna');
